Question|Option A|Option B|Option C|Option D|Answer
Which city is the capital of France and famous for the Eiffel Tower?|Rome|London|Paris|Berlin|Paris
The Brandenburg Gate is a famous landmark in which German city?|Munich|Hamburg|Frankfurt|Berlin|Berlin
Machu Picchu, an ancient Inca city, is located in which South American country?|Brazil|Peru|Argentina|Chile|Peru
What major city in Australia is known for its iconic Opera House?|Melbourne|Sydney|Brisbane|Perth|Sydney
The Pyramids of Giza are located near which major Egyptian city?|Alexandria|Luxor|Cairo|Aswan|Cairo
Which city is the capital of Japan and a global technology hub?|Kyoto|Osaka|Tokyo|Hiroshima|Tokyo
The Colosseum and Vatican City are prominent features of which Italian city?|Venice|Florence|Rome|Milan|Rome
The Empire State Building is a famous landmark in which American city?|Los Angeles|Chicago|New York City|San Francisco|New York City
The Christ the Redeemer statue overlooks which Brazilian city?|Brasília|Salvador|Rio de Janeiro|São Paulo|Rio de Janeiro
Which Canadian city is known for its historic Old Town and fortified walls?|Vancouver|Toronto|Montreal|Quebec City|Quebec City
The Sagrada Familia basilica is a famous unfinished masterpiece in which Spanish city?|Madrid|Seville|Barcelona|Valencia|Barcelona
What country is home to the ancient city of Petra, known for its rock-cut architecture?|Egypt|Jordan|Syria|Lebanon|Jordan
The Kremlin and Red Square are iconic landmarks in the capital city of which country?|Poland|Russia|Ukraine|Hungary|Russia
Table Mountain is a prominent natural landmark overlooking which South African city?|Durban|Johannesburg|Cape Town|Pretoria|Cape Town
Which city is the capital of China and home to the Forbidden City?|Shanghai|Hong Kong|Beijing|Xi'an|Beijing
The Golden Gate Bridge is a world-renowned suspension bridge in which American city?|Seattle|Portland|San Francisco|Denver|San Francisco
What country is famous for the ancient city of Angkor Wat?|Thailand|Vietnam|Cambodia|Laos|Cambodia
The Big Ben clock tower is a famous landmark in which European capital?|Dublin|Edinburgh|London|Amsterdam|London
Which city is the capital of Argentina and known for its vibrant tango culture?|Santiago|Lima|Buenos Aires|Montevideo|Buenos Aires
The Acropolis and Parthenon are ancient ruins located in which European capital?|Istanbul|Athens|Rome|Cairo|Athens
